1979	23	23	2	43	24	25	26	26	26	26	25	26	25
1980	26	27	28	28	28	30	31	31	31	30	30	30	29
1981	31	32	32	32	33	34	35	36	36	34	34	34	34
1982	26	27	28	28	26	27	28	28	26	27	28	25	32
1983	31	32	32	32	33	34	35	36	36	34	34	34	34
1984	39	38	39	39	39	41	42	43	40	39	38	38	40
1985	38	39	39	39	39	41	41	41	00	40	39	39	45
1986	31	32	32	32	33	34	35	36	36	34	34	34	34
1987	39	38	39	39	39	41	42	43	40	39	38	38	40
1988	38	39	39	39	39	41	41	41	00	40	39	39	45
1989	31	32	32	32	33	34	35	36	36	34	34	34	34
1990	39	38	39	39	39	41	42	43	40	39	38	38	40
1991	38	39	39	39	39	41	41	41	00	40	39	39	45
1992	31	32	32	32	33	34	35	36	36	34	34	34	34
1993	39	38	39	39	39	41	42	43	40	39	38	38	40
1994	38	39	39	39	39	41	41	41	00	40	39	39	45
